run_id,seed,transaction_cost_bps,variant,epochs,steps,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,average_abs_exposure,annualized_turnover
7f01b227bed56dfb,7,5.0,inherit,98,2052,-0.10029140903793587,-0.018623038322673313,0.0446612360487096,-0.3985571752489382,-0.5510192007631564,-0.1618385092234972,0.048024712982058106,11.412005245535678
7f01b227bed56dfb,7,5.0,restart,98,2052,0.06532588246883297,0.011319665992311823,0.07552188988293602,0.1867386434677893,0.2829981816383819,-0.17181423353231284,0.09262902221969863,22.37196781458071
7f01b227bed56dfb,42,5.0,inherit,98,2052,-0.09498235817303224,-0.0175954587996473,0.060760661725283875,-0.2617486898739704,-0.36760895396986387,-0.19601546410582033,0.06497986904186921,16.951963879430874
7f01b227bed56dfb,42,5.0,restart,98,2052,-0.03717689416809278,-0.006716250339425356,0.0787305512834192,-0.04623992300922438,-0.06716045924865564,-0.22120351913434394,0.09416225737944997,23.088205006271725
7f01b227bed56dfb,101,5.0,inherit,98,2052,0.0034741419245558625,0.0006170831915985886,0.062374115765056144,0.04107868657821626,0.059085772513521796,-0.2290117793110007,0.05189566927060354,14.341679138876971
7f01b227bed56dfb,101,5.0,restart,98,2052,0.037230402941194285,0.006523251418178111,0.08887456476067823,0.11744076904106844,0.18029989157369058,-0.2533059408665197,0.097987174016277,22.430334097580218
7f01b227bed56dfb,7,10.0,inherit,98,2052,-0.13355805192756232,-0.02517784017972402,0.039030560417214366,-0.6337840772752915,-0.8542779785969093,-0.16908140509851,0.04234034676796543,9.692985821708204
7f01b227bed56dfb,7,10.0,restart,98,2052,0.016361633863041014,0.002890948046019526,0.07548303635229836,0.07591868833628759,0.11469865970588808,-0.19712048981329272,0.09231850632521048,22.056423268956628
7f01b227bed56dfb,42,10.0,inherit,98,2052,-0.09872084446023366,-0.018318533706424556,0.05458682865967001,-0.3113989592944677,-0.44560417041581973,-0.18270714595227192,0.057187762877941764,13.017055984211078
7f01b227bed56dfb,42,10.0,restart,98,2052,-0.0949377642358491,-0.01758684854797843,0.07756387179966533,-0.1899853911183257,-0.27383074848859124,-0.2516357469673607,0.0952347117631019,22.85094419176866
7f01b227bed56dfb,101,10.0,inherit,98,2052,-0.0736961497096773,-0.013524587198096905,0.03796867751462281,-0.3396345013876359,-0.47257518618506633,-0.1359804762969616,0.03770319034441787,9.848459950993337
7f01b227bed56dfb,101,10.0,restart,98,2052,-0.0053017984691184905,-0.000945120611483885,0.08712880196633353,0.032544505913209676,0.0502976441493896,-0.26027475709233744,0.0961409804980229,22.019538278996983
7f01b227bed56dfb,7,25.0,inherit,98,2052,-0.16418156847916143,-0.031397371940569574,0.03921403742740798,-0.7938508024883174,-1.0770758454627107,-0.21696546654947077,0.03784663399881443,7.9768792536965
7f01b227bed56dfb,7,25.0,restart,98,2052,-0.1871225555875109,-0.03618054608879018,0.07799863368175652,-0.43347468673409706,-0.6299567335723357,-0.31960905706024234,0.09335825748687397,21.69960189005101
7f01b227bed56dfb,42,25.0,inherit,98,2052,-0.2590993493693029,-0.0519450196289597,0.06526286850221683,-0.7846483115456867,-1.0874707450567989,-0.3178318131216975,0.06920531388161269,15.699625943262925
7f01b227bed56dfb,42,25.0,restart,98,2052,-0.2930424686905474,-0.05982044887444127,0.07736007443419185,-0.7585908490813643,-1.0487688032517724,-0.3805230693167463,0.0933318139036135,21.87817800973132
7f01b227bed56dfb,101,25.0,inherit,98,2052,-0.09004072450295297,-0.01664343736614815,0.08060312568256996,-0.1679285232280032,-0.24214918389666212,-0.36679859107181,0.05401221859702501,12.039290827768879
7f01b227bed56dfb,101,25.0,restart,98,2052,-0.23175283590356832,-0.04581308563290487,0.09041237445849293,-0.4735894354281959,-0.7083039295657035,-0.38428462325672674,0.10010330727146807,22.4371938585245
