date,Close,Volume
2010-01-04,55.070823669433594,2829100
2010-01-05,55.42644500732422,2841600
2010-01-06,54.68450164794922,4099600
2010-01-07,54.77651596069336,2793200
2010-01-08,54.75196838378906,2910700
2010-01-11,54.4515266418457,2181300
2010-01-12,55.3835563659668,4321200
2010-01-13,54.73968505859375,4755000
2010-01-14,55.50618362426758,4188800
2010-01-15,55.84960174560547,4142800
2010-01-19,55.69013214111328,2496000
2010-01-20,56.254302978515625,2800500
2010-01-21,56.51182556152344,4363100
2010-01-22,56.413658142089844,3666900
2010-01-25,56.15618896484375,2419500
2010-01-26,56.174583435058594,3138100
2010-01-27,56.14386749267578,3325700
2010-01-28,56.113224029541016,3058200
2010-01-29,56.603858947753906,4930600
2010-02-01,56.0899543762207,3598500
2010-02-02,56.24996566772461,3047500
2010-02-03,55.59764862060547,5343700
2010-02-04,56.47766876220703,6095000
2010-02-05,56.60072326660156,6875800
2010-02-08,56.67451858520508,3386000
2010-02-09,56.108421325683594,4790000
2010-02-10,55.57307434082031,5068000
2010-02-11,55.27153778076172,5087500
2010-02-12,55.49923324584961,2833800
2010-02-16,55.60380935668945,2440900
2010-02-17,54.97005081176758,4368200
2010-02-18,54.748470306396484,5121800
2010-02-19,55.043853759765625,3502500
2010-02-22,54.81622314453125,3382600
2010-02-23,55.67150115966797,5474500
2010-02-24,55.806915283203125,4423200
2010-02-25,56.12074661254883,3707700
2010-02-26,56.409934997558594,4349100
2010-03-01,56.38525390625,2415200
2010-03-02,56.31120681762695,2260600
2010-03-03,56.169193267822266,2156100
2010-03-04,56.46550369262695,2374700
2010-03-05,55.72472381591797,3823200
2010-03-08,55.43459701538086,2850400
2010-03-09,55.44697189331055,2573700
2010-03-10,55.30495071411133,3216200
2010-03-11,55.508663177490234,2621000
2010-03-12,55.854339599609375,3099100
2010-03-15,55.780269622802734,1936800
2010-03-16,56.22477340698242,3932600
2010-03-17,56.46550369262695,3481200
2010-03-18,56.28035354614258,2750300
2010-03-19,56.335872650146484,2976300
2010-03-22,56.397621154785156,2452300
2010-03-23,56.13212203979492,2910000
2010-03-24,55.10744094848633,8049300
2010-03-25,54.75556564331055,8268400
2010-03-26,54.90991973876953,4110700
2010-03-29,54.699989318847656,3245100
2010-03-30,54.872802734375,3254600
2010-03-31,55.24943542480469,4263900
2010-04-01,55.11436462402344,2912400
2010-04-05,54.19731140136719,5652000
2010-04-06,54.28404998779297,3584600
2010-04-07,54.978004455566406,6389900
2010-04-08,55.002777099609375,3797600
2010-04-09,55.1329460144043,2311300
2010-04-12,55.42415237426758,2939600
2010-04-13,55.60384750366211,3090900
2010-04-14,55.21348190307617,3570100
2010-04-15,55.27540588378906,3698000
2010-04-16,55.678192138671875,8303900
2010-04-19,55.541866302490234,3211500
2010-04-20,55.740135192871094,2285000
2010-04-21,56.198631286621094,4162200
2010-04-22,56.031349182128906,2841400
2010-04-23,55.83308029174805,4776000
2010-04-26,55.89507293701172,4753900
2010-04-27,56.68191909790039,13199200
2010-04-28,56.198631286621094,8379500
2010-04-29,56.43410873413086,4067200
2010-04-30,57.084693908691406,6924800
2010-05-03,57.01006317138672,4211800
2010-05-04,58.03600311279297,11054800
2010-05-05,58.37797164916992,12219100
2010-05-06,60.18115234375,19578200
2010-05-07,59.42875289916992,18740600
2010-05-10,58.197662353515625,10240100
2010-05-11,58.04848861694336,7729100
2010-05-12,57.60699462890625,5530800
2010-05-13,57.98629379272461,6849700
2010-05-14,58.99354553222656,9796500
2010-05-17,58.77592086791992,6302200
2010-05-18,59.677452087402344,9904100
2010-05-19,59.87643051147461,14121200
2010-05-20,61.13862991333008,17666900
2010-05-21,61.20083999633789,18670600
2010-05-24,60.989437103271484,7721100
2010-05-25,61.28784942626953,12952700
2010-05-26,61.113731384277344,12644800
2010-05-27,59.727210998535156,7653200
2010-05-28,60.000762939453125,5805500
2010-06-01,60.42251205444336,5536200
2010-06-02,59.84851837158203,5656400
2010-06-03,59.411834716796875,8499500
2010-06-04,61.00896072387695,7479600
2010-06-07,61.47690963745117,5288200
2010-06-08,61.17120361328125,5510800
2010-06-09,61.102596282958984,5598000
2010-06-10,60.01078796386719,6075100
2010-06-11,60.77189636230469,6266700
2010-06-14,60.4599723815918,5310400
2010-06-15,60.21045684814453,4920100
2010-06-16,60.553524017333984,4011100
2010-06-17,61.04639434814453,5650900
2010-06-18,60.94660568237305,4171700
2010-06-21,60.77189636230469,5740900
2010-06-22,61.49559020996094,5658900
2010-06-23,61.913597106933594,9137800
2010-06-24,61.54548645019531,6184600
2010-06-25,61.79502487182617,5148300
2010-06-28,62.37525939941406,5436000
2010-06-29,63.0552978515625,7334200
2010-06-30,63.479530334472656,7205700
2010-07-01,63.57966232299805,12893400
2010-07-02,63.07276916503906,6297600
2010-07-06,63.5921516418457,6620400
2010-07-07,62.847496032714844,5727800
2010-07-08,62.446964263916016,6260600
2010-07-09,62.09031295776367,4286000
2010-07-12,62.06528091430664,4062100
2010-07-13,61.53335189819336,5842500
2010-07-14,62.15288543701172,5417300
2010-07-15,62.77238082885742,6996100
2010-07-16,63.07901382446289,7512400
2010-07-19,62.69109344482422,4305800
2010-07-20,62.78492736816406,5076600
2010-07-21,63.84872055053711,7894200
2010-07-22,63.110294342041016,5759700
2010-07-23,62.440704345703125,6259100
2010-07-26,62.3343391418457,4856400
2010-07-27,61.73361587524414,5328000
2010-07-28,61.933815002441406,5507200
2010-07-29,61.91508102416992,6305500
2010-07-30,62.87879180908203,7683200
2010-08-02,61.99612808227539,5769200
2010-08-03,62.353939056396484,4363500
2010-08-04,61.87679672241211,3820400
2010-08-05,62.16555404663086,3704200
2010-08-06,62.84361267089844,6042400
2010-08-09,62.61134719848633,2578500
2010-08-10,62.74319076538086,11251000
2010-08-11,63.584442138671875,6778300
2010-08-12,63.427494049072266,7590100
2010-08-13,64.21852111816406,7843600
2010-08-16,65.8257064819336,7976200
2010-08-17,65.44903564453125,6756800
2010-08-18,65.6247787475586,7721600
2010-08-19,66.64817810058594,13128500
2010-08-20,66.57284545898438,7040300
2010-08-23,66.58535766601562,6360100
2010-08-24,67.65262603759766,9812100
2010-08-25,67.43289947509766,13299800
2010-08-26,68.06702423095703,7039900
2010-08-27,66.1396713256836,13514000
2010-08-30,67.40777587890625,5535300
2010-08-31,68.1549072265625,8397000
2010-09-01,66.74568939208984,12480700
2010-09-02,66.04047393798828,8167600
2010-09-03,65.22185516357422,9210700
2010-09-07,66.55677032470703,6018400
2010-09-08,66.02784729003906,6698400
2010-09-09,64.7243881225586,8588900
2010-09-10,64.4284896850586,6910300
2010-09-13,64.7433090209961,7054800
2010-09-14,65.36670684814453,5978100
